torvalds,8680
julycoding,1641
vhf,1097
mbostock,1077
mrdoob,1014
visionmedia,699
JakeWharton,579
SamyPesse,519
mitsuhiko,494
antirez,487
photonstorm,429
csswizardry,397
mdo,396
fabpot,390
addyosmani,375
mattt,339
mathiasbynens,333
kripken,317
steipete,308
yinwang0,262
necolas,245
sebastianbergmann,239
zenorocha,208
samuelclay,199
marijnh,183
Shougo,183
mrmrs,182
mgcrea,172
charliesome,161
josevalim,158
kangax,157
codegangsta,154
hueniverse,150
Cocoanetics,148
bergie,147
apotonick,146
jordansissel,145
probablycorey,143
DataTables,141
avelino,140
thomasdavis,131
Unknwon,130
coolwanglu,120
kraih,110
jgm,109
mxcl,107
jspahrsummers,107
weavejester,100
tpope,100
paulmillr,99
mourner,93
maxogden,91
rakyll,84
bradfitz,83
ai,82
rstacruz,81
philsturgeon,78
btford,76
mitchellh,76
mythz,76
ebidel,76
hadley,75
gitster,73
armon,67
fogus,67
michael,66
tbranyen,64
michaelficarra,64
willdurand,61
jtauber,59
fool2fish,58
josh,57
lepture,55
dcramer,53
bbatsov,53
mikejolley,49
pydanny,48
mnot,44
gka,43
RubyLouvre,43
Constellation,42
zcbenz,41
yihui,39
swankjesse,38
leafo,37
yyx990803,37
miguelgrinberg,37
magnars,36
mhartl,36
rdegges,36
xhzengAIB,35
azer,35
bos,33
justintadlock,32
orta,31
jezdez,31
FooBarWidget,29
jlord,29
turingou,29
ShawnMcCool,28
roojs,28
matz,27
ericholscher,26
markstory,26
ask,26
swannodette,26
rkh,26
connors,25
karmi,25
MatthewMueller,24
TooTallNate,24
passy,24
HenrikJoreteg,23
domenic,22
shiffman,22
benoitc,22
tmcw,21
chrisdone,21
radar,20
substack,20
madskristensen,20
indutny,19
jaredhanson,19
twada,18
r7kamura,18
migurski,18
karan,17
remy,17
tommy351,17
dg,17
klen,17
rvagg,16
isaacs,16
alloy,16
bfirsh,16
geemus,15
guille,15
caitp,14
feross,14
tonymorris,14
drnic,14
HugoGiraudel,14
audreyt,14
jdalton,13
josegonzalez,13
AdamBien,13
samdark,13
SamSaffron,13
Haacked,12
michaelklishin,12
dustin,12
kohsuke,12
davidfowl,12
eduardolundgren,12
headius,12
evancz,12
agentzh,11
cvrebert,11
jeromeetienne,11
obviousjim,11
olivergierke,11
weierophinney,10
jonathanong,10
juliangruber,10
andrew,10
tenderlove,10
roidrage,9
snoyberg,9
creationix,9
balupton,9
kytrinyx,9
jakevdp,9
ekmett,9
mattn,8
xinyu198736,8
cyanogen,8
springmeyer,8
sole,8
brianchandotcom,8
ayende,8
sandal,7
3rd-Eden,7
mcollina,6
soyjavi,6
jwiegley,6
happypeter,6
pippinsplugins,5
tokuhirom,5
kana,5
ianstormtaylor,5
hotoo,5
rpflorence,5
c9s,5
phuslu,5
robdodson,5
ornicar,5
defunctzombie,5
davecheney,5
paulcbetts,4
ErisDS,4
shama,4
schneems,4
Raynos,4
heynemann,4
mafintosh,4
kevinsawicki,4
steveklabnik,4
cjohansen,4
michalbe,4
dominictarr,4
mikolalysenko,3
PaulKinlan,3
clkao,3
alex,3
benbalter,3
ingydotnet,3
ujihisa,3
bryanveloso,3
tmpvar,3
purcell,3
arunoda,3
jsuereth,3
example42,3
mmalecki,2
ricardoquesada,2
sorah,2
ednapiranha,2
contra,2
sferik,2
mizzy,2
Ocramius,2
gfx,2
yuvipanda,1
titanous,1
weaverryan,1
darkwing,1
vojtajina,1
gnuwilliam,1
timoxley,1
sahat,1
hsbt,1
faux123,1
dfm,1
fsouza,0
stof,0
freddix,0
qiangxue,0
taylorotwell,0
stefanpenner,0
lsmith77,0
mikermcneil,0
fengmk2,0
jamesward,0
nacin,0
andrewsmedina,0
rafaelfranca,0
