,version,modelYear,km,price,phoneNumber,pro,argus,cheaperThanArgus,latitude,longitude
50,0.9 TCE 90 ENERGY S&S INTENS ECO2,2014.0,10,17490,0130516539,1,15500,0,48.7623589,1.945326
51,1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,7933,18490,0811708090,1,17700,0,48.792001,2.39851
52,1.5 DCI 90 ENERGY ARIZONA ECO2,2014.0,5950,17900,,0,17100,0,48.73668,2.180034
53,0.9 TCE 90 ENERGY S&S INTENS ECO2,2014.0,21883,15900,0142836847,1,15500,0,48.821267,2.472043
54,1.2 TCE 120 INTENS EDC,2014.0,10,19640,0184141900,1,17800,0,48.911358,2.8281139
55,1.2 TCE 120 INTENS EDC,2014.0,10,19640,0184141900,1,17800,0,48.911358,2.8281139
56,1.2 TCE 120 INTENS EDC,2014.0,10,19210,0184141900,1,17800,0,48.911358,2.8281139
57,1.2 TCE 120 INTENS EDC,2014.0,4000,18870,0184141900,1,17800,0,48.911358,2.8281139
58,1.2 TCE 120 INTENS EDC,2014.0,10,19640,0184141900,1,17800,0,48.911358,2.8281139
59,1.2 TCE 120 INTENS EDC,2014.0,10,19640,0184141900,1,17800,0,48.911358,2.8281139
60,1.5 DCI 90 INTENS EDC,2014.0,15000,20300,0677372750,1,17500,0,48.877535,2.59016
61,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,9900,19600,0677372750,1,17700,0,48.877535,2.59016
62,1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,15000,17800,0677372750,1,16000,0,48.877535,2.59016
63,1.2 TCE 120 INTENS EDC,2014.0,10,19640,0184141900,1,17800,0,48.911358,2.8281139
64,1.2 TCE 120 INTENS EDC,2014.0,10,19640,0184141900,1,17800,0,48.911358,2.8281139
65,1.2 TCE 120 INTENS EDC,2014.0,10,19440,0184141900,1,17800,0,48.911358,2.8281139
66,1.2 TCE 120 ZEN EDC,2013.0,7400,17400,,1,16000,0,48.8138999,2.344688
67,1.2 TCE 120 INTENS EDC,2014.0,7742,18900,0677372750,1,17800,0,48.877535,2.59016
68,1.5 DCI 90 ENERGY S&S INTENS ECO2,2014.0,6999,18900,0677372750,1,17700,0,48.877535,2.59016
69,1.5 DCI 90 ENERGY S&S LIFE ECO2,2014.0,100,16390,0164359001,1,14600,0,48.9514039,3.018301
70,1.5 DCI 90 BUSINESS EDC,2013.0,24200,16980,0164359001,1,17600,1,48.9514039,3.018301
71,1.5 DCI 90 ENERGY S&S INTENS ECO2,2013.0,14900,15900,,1,17700,1,48.6102599,2.474805
72,1.5 DCI 90 INTENS EDC,2014.0,10,19840,0184141900,1,17500,0,48.911358,2.8281139
73,1.5 DCI 90 ZEN EDC,2013.0,9000,16990,,1,16200,0,48.434416,2.16142
74,0.9 TCE 90 ENERGY S&S ZEN ECO2,2014.0,10,17300,0130157765,1,14200,0,48.896391,2.160098
75,1.2 TCE 120 ZEN EDC,2013.0,20500,16300,,0,16000,0,48.611486,2.30604
76,1.5 DCI 90 ENERGY S&S ZEN ECO2,2014.0,3098,17700,0164239675,1,16000,0,48.423454,2.754079
77,1.5 DCI 90 BUSINESS EDC,2014.0,18932,17880,0142531111,1,17600,0,48.816363,2.317384
78,1.5 DCI 90 ENERGY S&S BUSINESS ECO2,2014.0,17670,15990,0144740871,1,16100,1,48.8293647,2.4265406
79,1.5 DCI 90 BUSINESS EDC,2014.0,22880,16790,0174037256,1,17600,1,48.8396952,2.2399123
80,1.2 TCE 120 INTENS EDC,2014.0,10,19372,0141734040,1,17800,0,48.760344,2.387405
81,1.2 TCE 120 INTENS EDC,2013.0,24500,16300,,1,17800,1,48.813071,3.083497
82,1.5 DCI 90 INTENS EDC,2014.0,11,20500,,1,17500,0,48.893217,2.287864
83,0.9 TCE 90 ENERGY S&S INTENS ECO2,2014.0,5576,16500,0144740871,1,15500,0,48.8293647,2.4265406
84,1.2 TCE 120 ZEN EDC,2013.0,12150,15999,0646061008,1,16000,1,48.917402,2.269675
85,0.9 TCE 90 ENERGY S&S ZEN ECO2,2014.0,6700,15790,,0,14200,0,48.80598,2.022188
86,1.2 TCE 120 INTENS EDC,2014.0,7600,18400,,0,17800,0,49.000275,2.09178
