,prix,annee,ville,km,tel,pro_part,argus,pos_argus,lat,long
104,18000,2013,Soulac-sur-Mer,25000,0,p,0,?,0,0
105,19500,2014,Notre-Dame-de-Sanilhac,15000,0,p,0,?,0,0
106,16500,2013,Castillon-la-Bataille,0,0,p,0,?,0,0
107,19150,2014,Mérignac,0,0,p,0,?,0,0
108,17800,2014,Agen,13000,0,p,0,?,0,0
109,13700,2013,Aix-en-Provence,22466,0,c,0,?,0,0
110,14800,2014,Hyères,15998,0,c,0,?,0,0
111,14500,2014,Nice,21959,0,c,0,?,0,0
112,14800,2014,Nice,0,0,c,0,?,0,0
113,13400,2013,Aix-en-Provence,25313,0,c,0,?,0,0
114,14800,2014,Nice,17858,0,c,0,?,0,0
115,14800,2014,Aix-en-Provence,0,0,c,0,?,0,0
116,14800,2014,Marignane,10241,0,c,0,?,0,0
117,14800,2014,Nice,11888,0,c,0,?,0,0
118,14800,2014,Nice,13785,0,c,0,?,0,0
119,14800,2014,Aix-en-Provence,15948,0,c,0,?,0,0
120,14800,2014,Nice,10773,0,c,0,?,0,0
121,14800,2014,Marignane,16357,0,c,0,?,0,0
122,14800,2014,Nice,11200,0,c,0,?,0,0
123,14800,2014,Marignane,17078,0,c,0,?,0,0
124,14800,2014,Marseille,11841,0,c,0,?,0,0
125,14800,2014,Cannes,18155,0,c,0,?,0,0
126,13900,2013,Marignane,20087,0,c,0,?,0,0
127,14800,2014,Hyères,18352,0,c,0,?,0,0
128,14800,2014,Nice,13268,0,c,0,?,0,0
129,19990,,Aix-en-Provence,0,0,c,0,?,0,0
130,14800,2014,Aix-en-Provence,19206,0,c,0,?,0,0
131,17490,2014,Aix-en-Provence,19076,0,c,0,?,0,0
132,15490,2013,Arles,19327,0,c,0,?,0,0
133,16990,2013,Marseille,13000,0,c,0,?,0,0
134,16900,2013,Hyères,12020,0,c,0,?,0,0
135,18990,2014,Miramas,0,0,c,0,?,0,0
136,20200,2013,Aix-en-Provence,0,0,c,0,?,0,0
137,14990,2013,Avignon,16209,0,c,0,?,0,0
138,16900,2013,La Seyne-sur-Mer,14600,0,p,0,?,0,0
139,16700,2013,Vitrolles,13500,0,p,0,?,0,0
140,17000,2013,Hyères,23000,0,p,0,?,0,0
141,19500,2014,Toulon,0,0,p,0,?,0,0
142,15900,2013,Ceyreste,26000,0,p,0,?,0,0
143,16100,2013,Coudoux,22000,0,p,0,?,0,0
144,15900,2013,Serres,23000,0,p,0,?,0,0
145,17990,2013,Rognonas,28000,0,p,0,?,0,0
146,18000,2014,Fréjus,10000,0,p,0,?,0,0
147,14900,2013,Saint-Maximin-la-Sainte-Baume,29000,0,p,0,?,0,0
148,16200,2013,La Ciotat,17913,0,p,0,?,0,0
149,19200,2014,Simiane-Collongue,0,0,p,0,?,0,0
150,14500,2013,Fayence,28000,0,p,0,?,0,0
151,17000,2013,Aix-en-Provence,10000,0,p,0,?,0,0
152,17500,2013,Saint-Chamas,28000,0,p,0,?,0,0
153,16900,2013,Garéoult,30000,0,p,0,?,0,0
154,17000,2013,Sainte-Maxime,16000,0,p,0,?,0,0
155,16000,2013,Lauris,40000,0,p,0,?,0,0
156,17800,2013,Le Puy-Sainte-Réparade,20400,0,p,0,?,0,0
157,17300,2013,Fos-sur-Mer,17300,0,p,0,?,0,0
